tweet_text,tweet_time,tweet_place
"Just realized 2 things. 
1.) An item I ordered from China still hasn’t arrived. Tariffs! 

2.) I order too much use… https://t.co/jJa5awcGty",Thu Jan 17 16:33:04 +0000 2019,"Shreveport, LA"
She really tried to get this man truck towed,Thu Jan 17 16:32:25 +0000 2019,"Shreveport, LA"
"After seeing new forecast for #ChiefsKingdom and #EverythingWeGot game, weather is",Thu Jan 17 16:32:15 +0000 2019,"Shreveport, LA"
This lady in the dental office is mean asf ..,Thu Jan 17 16:32:10 +0000 2019,"Shreveport, LA"
Nah my siblings that’s all 💀🤣,Thu Jan 17 16:26:10 +0000 2019,"Shreveport, LA"
"https://t.co/FiWSEtp3K1

🖤💛This why you have to be in the building and this is why we LOVE 💗 OUR SAINTS 🖤💛",Thu Jan 17 16:26:03 +0000 2019,"Shreveport, LA"
Ion got no family,Thu Jan 17 16:26:00 +0000 2019,"Shreveport, LA"
@PLAYGRRRRL I once had sex at a Roma’s Italian Bistro. Lol,Thu Jan 17 16:25:34 +0000 2019,"Shreveport, LA"
👏🏾 https://t.co/s3cniOvd8u,Thu Jan 17 16:23:57 +0000 2019,"Shreveport, LA"
Still my favorite tweet of all time lmaoooo https://t.co/F52loJKDTl,Thu Jan 17 16:23:24 +0000 2019,"Shreveport, LA"
I’m really the Soulja Boy of Longboarding 🛹,Thu Jan 17 16:22:44 +0000 2019,"Shreveport, LA"
Mr. Wick is #Excommunicado. Check out the trailer for the latest chapter… #JohnWick3 @JohnWickMovie  https://t.co/k4FVEugtCU,Thu Jan 17 16:22:12 +0000 2019,"Shreveport, LA"
"@BlacYoungstaFB once said, “show em yo momma made a hoe.” SOOOO come here @groovee_t 🤤😂. https://t.co/qF8TaAyiKC",Thu Jan 17 16:21:40 +0000 2019,"Shreveport, LA"
Nobody 💁🏽‍♀️ cause then comes me 💀🤣 https://t.co/pB8LisQXQh,Thu Jan 17 16:21:24 +0000 2019,"Shreveport, LA"
Proud to say that the @BPCCFoundation was part of @CEFEX1 growth in 2018! @BPCCCavs #Stewardship https://t.co/i3GLlNn3ez,Thu Jan 17 16:20:40 +0000 2019,"Shreveport, LA"
"#lol #martinlawrence @realmartymar @ North Shreveport, Louisiana https://t.co/mcAWpjtx5S",Thu Jan 17 16:05:40 +0000 2019,"Shreveport, LA"
Where they mama at? https://t.co/hvExCuE6kU,Thu Jan 17 16:02:13 +0000 2019,"Shreveport, LA"
👍👍💪💪👙👙🏋️‍♀️🏋️‍♀️ #GotGoals #GottaLookGoodNaked #BikiniCompetition @ Airport Park https://t.co/P0eu3maoA1,Thu Jan 17 15:58:58 +0000 2019,"Shreveport, LA"
Let #Trump speak from @senatemajldr ‘s senate. Let him approve (again) of the #TrumpShutdown . #DebasingOfAmerica… https://t.co/CskW6gwjJp,Thu Jan 17 15:51:01 +0000 2019,"Shreveport, LA"
"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""Food Serv… https://t.co/Cc8Cp4Y5iq",Thu Jan 17 15:50:33 +0000 2019,"Shreveport, LA"
"Build The Wall!!!
Democrats are endangering American Citizens! Time to Fund The Wall! #EndBorderCrisis",Thu Jan 17 15:50:26 +0000 2019,"Shreveport, LA"
@travisbhill5 Nope...shows me he ain’t sharing the ball.  Would be brutal to play with him.,Thu Jan 17 15:49:45 +0000 2019,"Shreveport, LA"
@GK_Morrison I don’t even want to hit them. Not even a little bit,Thu Jan 17 15:49:43 +0000 2019,"Shreveport, LA"
So this girl sister like me and the sister keep eyeing me down wtf I don’t go that way 😭🙅🏻‍♀️,Thu Jan 17 15:47:25 +0000 2019,"Shreveport, LA"
